Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,"This data was collected in front of Room 167, in the middle of the hallway on the floor with the screen of the laptop facing toward the main entrance of Weisenbaker"
66,4.7596383,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
67,4.8620715,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
68,4.9645093,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
69,5.2716937,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
70,5.3739904,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
71,5.4764171,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
72,5.5787387,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
73,5.6812278,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
74,5.8991059,[F430B9 07F463],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 9",
75,5.9093153,[F430B9 07F463],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 9",
76,5.9883853,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
77,6.0907017,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
78,6.1932969,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
79,6.2956270,[24DEC6 11ECE1],[*BROADCAST],185 (0xB9),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 185 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
80,6.3980900,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
81,6.5004873,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
82,6.6026732,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
83,6.7052667,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
84,6.9100787,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
85,6.9121460,spoc-mue1.norton.com,10.231.231.191,184 (0xB8),TLS,TLS:TLS Rec Layer-1 SSL Application Data,"{TLS:3, SSLVersionSelector:2, TCP:1, IPv4:3}"
86,6.9524315,10.231.231.191,spoc-mue1.norton.com,,TCP,"TCP:Flags=...A...., SrcPort=3279, DstPort=HTTPS(443), PayloadLen=0, Seq=3812654662, Ack=1632790619, Win=67","{TCP:1, IPv4:3}"
87,7.0123947,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
88,7.0144209,spoc-mue1.norton.com,10.231.231.191,184 (0xB8),TCP,"TCP:[ReTransmit #85]Flags=...AP..., SrcPort=HTTPS(443), DstPort=3279, PayloadLen=95, Seq=1632790524 - 1632790619, Ack=3812654662, Win=6","{TCP:1, IPv4:3}"
89,7.0145868,10.231.231.191,spoc-mue1.norton.com,,TCP,"TCP:[Dup Ack #86]Flags=...A...., SrcPort=3279, DstPort=HTTPS(443), PayloadLen=0, Seq=3812654662, Ack=1632790619, Win=67","{TCP:1, IPv4:3}"
90,7.1147299,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
91,7.2172759,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
92,7.3196462,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
93,7.7292056,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
94,7.8316567,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
95,7.9339692,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
96,8.0363763,[24DEC6 11ECE1],[*BROADCAST],183 (0xB7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 183 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
97,8.1387820,[24DEC6 11ECE1],[*BROADCAST],184 (0xB8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 184 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
98,8.2412635,[24DEC6 11ECE1],[*BROADCAST],183 (0xB7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 183 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
99,8.3436590,[24DEC6 11ECE1],[*BROADCAST],183 (0xB7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 183 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
100,8.5483624,[24DEC6 11ECE1],[*BROADCAST],183 (0xB7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 183 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
101,8.6507792,[24DEC6 11ECE1],[*BROADCAST],183 (0xB7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 183 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
102,8.7532513,[24DEC6 11ECE1],[*BROADCAST],183 (0xB7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 183 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 11",
