Frame Number,Time Offset,Source,Destination,RSSI (dBm),Protocol Name,Description,
662,31.5945922,[84100D 0BC1B4],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 6",
663,31.6369595,clients.l.google.com,10.231.231.191,216 (0xD8),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 369","{UDP:48, IPv4:46}"
664,31.6375347,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 48","{UDP:48, IPv4:46}"
665,31.7503150,[921CB6 005390],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementProbe request] ....... RSSI = 216 dBm, Rate = Unknown, SSID = BroadCast SSID, Channel = 5",
666,31.7752092,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
667,31.8392997,10.231.231.191,239.255.255.250,,SSDP,"SSDP:Request, M-SEARCH * ","{HTTP:29, UDP:28, IPv4:27}"
668,31.8774319,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
669,32.0821554,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
670,32.1876954,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
671,32.2869934,[24DEC6 11EF61],[*BROADCAST],216 (0xD8),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 216 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
672,32.3894941,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
673,32.4239452,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 127","{UDP:47, IPv4:46}"
674,32.4435198,clients.l.google.com,10.231.231.191,215 (0xD7),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 128","{UDP:47, IPv4:46}"
675,32.4437473,clients.l.google.com,10.231.231.191,215 (0xD7),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51297, Length = 24","{UDP:47, IPv4:46}"
676,32.4442506,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51297, DstPort = HTTPS(443), Length = 46","{UDP:47, IPv4:46}"
677,32.4484750,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 243","{UDP:48, IPv4:46}"
678,32.4486893,10.231.231.191,clients.l.google.com,,UDP,"UDP:SrcPort = 51298, DstPort = HTTPS(443), Length = 1099","{UDP:48, IPv4:46}"
679,32.4588597,clients.l.google.com,10.231.231.191,215 (0xD7),UDP,"UDP:SrcPort = HTTPS(443), DstPort = 51298, Length = 50","{UDP:48, IPv4:46}"
680,32.4919247,[24DEC6 11EF61],[*BROADCAST],215 (0xD7),WiFi,"WiFi:[ ManagementBeacon] ....... RSSI = 215 dBm, Rate = Unknown, SSID = tamulink-wpa, Channel = 6",
